sku_quantity;count;fraction;cumulative_fraction
1;4263;0.30576674795581693;0.30576674795581693
2;3587;0.2572801606656147;0.5630469086214317
3;2366;0.16970305551570794;0.7327499641371396
4;1598;0.11461770190790417;0.8473676660450438
5;907;0.06505522880504949;0.9124228948500932
6;498;0.03571940898006025;0.9481423038301535
7;290;0.0208004590446134;0.9689427628747669
8;173;0.012408549705924544;0.9813513125806914
9;94;0.006742217759288481;0.9880935303399799
10;59;0.004231817529766174;0.9923253478697461
11;48;0.0034428346004877347;0.9957681824702338
12;27;0.001936594462774351;0.9977047769330082
13;11;0.0007889829292784393;0.9984937598622866
14;4;0.00028690288337397793;0.9987806627456606
15;3;0.00021517716253048342;0.9989958399081911
16;6;0.00043035432506096684;0.9994261942332521
17;2;0.00014345144168698896;0.999569645674939
18;3;0.00021517716253048342;0.9997848228374695
19;1;7.172572084349448e-05;0.999856548558313
23;1;7.172572084349448e-05;0.9999282742791565
24;1;7.172572084349448e-05;1.0
