deadline;tote_id;sku_quantity
2021-09-01T07:00:00;0-1-0;5
2021-09-01T07:00:00;0-1-1;6
2021-09-01T07:00:00;0-1-10;1
2021-09-01T07:00:00;0-1-13;3
2021-09-01T07:00:00;0-1-14;1
2021-09-01T07:00:00;0-1-15;2
2021-09-01T07:00:00;0-1-18;5
2021-09-01T07:00:00;0-1-19;2
2021-09-01T07:00:00;0-1-2;1
2021-09-01T07:00:00;0-1-20;3
2021-09-01T07:00:00;0-1-23;5
2021-09-01T07:00:00;0-1-24;2
2021-09-01T07:00:00;0-1-26;3
2021-09-01T07:00:00;0-1-27;1
2021-09-01T07:00:00;0-1-28;1
2021-09-01T07:00:00;0-1-30;1
2021-09-01T07:00:00;0-1-31;6
2021-09-01T07:00:00;0-1-32;3
2021-09-01T07:00:00;0-1-33;2
2021-09-01T07:00:00;0-1-34;1
2021-09-01T07:00:00;0-1-35;1
2021-09-01T07:00:00;0-1-36;2
2021-09-01T07:00:00;0-1-37;1
2021-09-01T07:00:00;0-1-38;1
2021-09-01T07:00:00;0-1-39;5
2021-09-01T07:00:00;0-1-4;3
2021-09-01T07:00:00;0-1-5;2
2021-09-01T07:00:00;0-1-6;2
2021-09-01T07:00:00;0-1-7;4
2021-09-01T07:00:00;0-1-9;3
2021-09-01T07:00:00;0-11-0;3
2021-09-01T07:00:00;0-11-1;3
2021-09-01T07:00:00;0-11-11;4
2021-09-01T07:00:00;0-11-12;4
2021-09-01T07:00:00;0-11-13;12
2021-09-01T07:00:00;0-11-14;4
2021-09-01T07:00:00;0-11-15;3
2021-09-01T07:00:00;0-11-16;5
2021-09-01T07:00:00;0-11-17;1
2021-09-01T07:00:00;0-11-2;1
2021-09-01T07:00:00;0-11-20;3
2021-09-01T07:00:00;0-11-21;1
2021-09-01T07:00:00;0-11-22;2
2021-09-01T07:00:00;0-11-23;2
2021-09-01T07:00:00;0-11-24;4
2021-09-01T07:00:00;0-11-25;4
2021-09-01T07:00:00;0-11-26;2
2021-09-01T07:00:00;0-11-27;1
2021-09-01T07:00:00;0-11-28;2
2021-09-01T07:00:00;0-11-29;6
2021-09-01T07:00:00;0-11-3;2
2021-09-01T07:00:00;0-11-30;1
2021-09-01T07:00:00;0-11-31;10
2021-09-01T07:00:00;0-11-33;1
2021-09-01T07:00:00;0-11-36;5
2021-09-01T07:00:00;0-11-37;3
2021-09-01T07:00:00;0-11-39;1
2021-09-01T07:00:00;0-11-4;2
2021-09-01T07:00:00;0-11-7;3
2021-09-01T07:00:00;0-11-9;1
2021-09-01T07:00:00;0-13-0;1
2021-09-01T07:00:00;0-13-1;2
2021-09-01T07:00:00;0-13-10;1
2021-09-01T07:00:00;0-13-11;2
2021-09-01T07:00:00;0-13-12;6
2021-09-01T07:00:00;0-13-14;3
2021-09-01T07:00:00;0-13-15;8
2021-09-01T07:00:00;0-13-17;5
2021-09-01T07:00:00;0-13-18;2
2021-09-01T07:00:00;0-13-19;1
2021-09-01T07:00:00;0-13-2;4
2021-09-01T07:00:00;0-13-20;2
2021-09-01T07:00:00;0-13-22;1
2021-09-01T07:00:00;0-13-23;1
2021-09-01T07:00:00;0-13-24;7
2021-09-01T07:00:00;0-13-27;4
2021-09-01T07:00:00;0-13-28;1
2021-09-01T07:00:00;0-13-29;4
2021-09-01T07:00:00;0-13-3;2
2021-09-01T07:00:00;0-13-30;1
2021-09-01T07:00:00;0-13-31;4
2021-09-01T07:00:00;0-13-34;4
2021-09-01T07:00:00;0-13-36;1
2021-09-01T07:00:00;0-13-37;1
2021-09-01T07:00:00;0-13-38;1
2021-09-01T07:00:00;0-13-39;1
2021-09-01T07:00:00;0-13-4;3
2021-09-01T07:00:00;0-13-6;1
2021-09-01T07:00:00;0-13-7;2
2021-09-01T07:00:00;0-13-8;2
2021-09-01T07:00:00;0-13-9;4
2021-09-01T07:00:00;0-15-0;7
2021-09-01T07:00:00;0-15-10;1
2021-09-01T07:00:00;0-15-11;4
2021-09-01T07:00:00;0-15-13;2
2021-09-01T07:00:00;0-15-14;2
2021-09-01T07:00:00;0-15-15;2
2021-09-01T07:00:00;0-15-16;4
2021-09-01T07:00:00;0-15-17;3
2021-09-01T07:00:00;0-15-19;5
2021-09-01T07:00:00;0-15-20;3
2021-09-01T07:00:00;0-15-23;9
2021-09-01T07:00:00;0-15-24;2
2021-09-01T07:00:00;0-15-25;1
2021-09-01T07:00:00;0-15-26;2
2021-09-01T07:00:00;0-15-27;2
2021-09-01T07:00:00;0-15-28;2
2021-09-01T07:00:00;0-15-29;2
2021-09-01T07:00:00;0-15-3;3
2021-09-01T07:00:00;0-15-30;7
2021-09-01T07:00:00;0-15-31;1
2021-09-01T07:00:00;0-15-34;4
2021-09-01T07:00:00;0-15-36;1
2021-09-01T07:00:00;0-15-37;5
2021-09-01T07:00:00;0-15-5;4
2021-09-01T07:00:00;0-15-6;3
2021-09-01T07:00:00;0-15-7;2
2021-09-01T07:00:00;0-15-9;1
2021-09-01T07:00:00;0-17-0;6
2021-09-01T07:00:00;0-17-1;2
2021-09-01T07:00:00;0-17-12;2
2021-09-01T07:00:00;0-17-14;6
2021-09-01T07:00:00;0-17-16;2
2021-09-01T07:00:00;0-17-17;6
2021-09-01T07:00:00;0-17-18;1
2021-09-01T07:00:00;0-17-21;5
2021-09-01T07:00:00;0-17-24;2
2021-09-01T07:00:00;0-17-25;1
2021-09-01T07:00:00;0-17-26;3
2021-09-01T07:00:00;0-17-27;7
2021-09-01T07:00:00;0-17-28;1
2021-09-01T07:00:00;0-17-29;3
2021-09-01T07:00:00;0-17-3;2
2021-09-01T07:00:00;0-17-30;2
2021-09-01T07:00:00;0-17-31;2
2021-09-01T07:00:00;0-17-32;1
2021-09-01T07:00:00;0-17-33;7
2021-09-01T07:00:00;0-17-34;1
2021-09-01T07:00:00;0-17-35;3
2021-09-01T07:00:00;0-17-39;2
2021-09-01T07:00:00;0-17-4;1
2021-09-01T07:00:00;0-17-5;3
2021-09-01T07:00:00;0-17-6;2
2021-09-01T07:00:00;0-17-7;2
2021-09-01T07:00:00;0-17-8;3
2021-09-01T07:00:00;0-17-9;4
2021-09-01T07:00:00;0-19-0;8
2021-09-01T07:00:00;0-19-1;2
2021-09-01T07:00:00;0-19-10;1
2021-09-01T07:00:00;0-19-11;13
2021-09-01T07:00:00;0-19-12;2
2021-09-01T07:00:00;0-19-14;8
2021-09-01T07:00:00;0-19-15;2
2021-09-01T07:00:00;0-19-16;2
2021-09-01T07:00:00;0-19-18;2
2021-09-01T07:00:00;0-19-2;3
2021-09-01T07:00:00;0-19-20;5
2021-09-01T07:00:00;0-19-21;2
2021-09-01T07:00:00;0-19-22;2
2021-09-01T07:00:00;0-19-23;2
2021-09-01T07:00:00;0-19-24;2
2021-09-01T07:00:00;0-19-25;1
2021-09-01T07:00:00;0-19-26;2
2021-09-01T07:00:00;0-19-27;2
2021-09-01T07:00:00;0-19-29;6
2021-09-01T07:00:00;0-19-3;1
2021-09-01T07:00:00;0-19-32;2
2021-09-01T07:00:00;0-19-33;3
2021-09-01T07:00:00;0-19-36;1
2021-09-01T07:00:00;0-19-37;1
2021-09-01T07:00:00;0-19-38;6
2021-09-01T07:00:00;0-19-4;1
2021-09-01T07:00:00;0-19-5;5
2021-09-01T07:00:00;0-19-6;1
2021-09-01T07:00:00;0-19-7;5
2021-09-01T07:00:00;0-19-8;5
2021-09-01T07:00:00;0-19-9;2
2021-09-01T07:00:00;0-2-0;1
2021-09-01T07:00:00;0-2-11;3
2021-09-01T07:00:00;0-2-12;2
2021-09-01T07:00:00;0-2-14;1
2021-09-01T07:00:00;0-2-16;2
2021-09-01T07:00:00;0-2-18;1
2021-09-01T07:00:00;0-2-2;3
2021-09-01T07:00:00;0-2-21;1
2021-09-01T07:00:00;0-2-22;5
2021-09-01T07:00:00;0-2-23;1
2021-09-01T07:00:00;0-2-24;1
2021-09-01T07:00:00;0-2-25;4
2021-09-01T07:00:00;0-2-26;5
2021-09-01T07:00:00;0-2-27;2
2021-09-01T07:00:00;0-2-28;2
2021-09-01T07:00:00;0-2-29;4
2021-09-01T07:00:00;0-2-3;4
2021-09-01T07:00:00;0-2-30;2
2021-09-01T07:00:00;0-2-33;1
2021-09-01T07:00:00;0-2-34;2
2021-09-01T07:00:00;0-2-35;1
2021-09-01T07:00:00;0-2-36;2
2021-09-01T07:00:00;0-2-37;1
2021-09-01T07:00:00;0-2-38;1
2021-09-01T07:00:00;0-2-39;1
2021-09-01T07:00:00;0-2-4;1
2021-09-01T07:00:00;0-2-5;2
2021-09-01T07:00:00;0-2-6;4
2021-09-01T07:00:00;0-2-7;1
2021-09-01T07:00:00;0-5-0;1
2021-09-01T07:00:00;0-5-10;2
2021-09-01T07:00:00;0-5-12;9
2021-09-01T07:00:00;0-5-13;2
2021-09-01T07:00:00;0-5-14;1
2021-09-01T07:00:00;0-5-15;4
2021-09-01T07:00:00;0-5-16;1
2021-09-01T07:00:00;0-5-18;4
2021-09-01T07:00:00;0-5-19;3
2021-09-01T07:00:00;0-5-2;1
2021-09-01T07:00:00;0-5-22;6
2021-09-01T07:00:00;0-5-23;5
2021-09-01T07:00:00;0-5-25;3
2021-09-01T07:00:00;0-5-26;1
2021-09-01T07:00:00;0-5-27;1
2021-09-01T07:00:00;0-5-28;4
2021-09-01T07:00:00;0-5-29;1
2021-09-01T07:00:00;0-5-3;6
2021-09-01T07:00:00;0-5-30;2
2021-09-01T07:00:00;0-5-31;3
2021-09-01T07:00:00;0-5-33;1
2021-09-01T07:00:00;0-5-34;2
2021-09-01T07:00:00;0-5-37;4
2021-09-01T07:00:00;0-5-39;3
2021-09-01T07:00:00;0-5-5;3
2021-09-01T07:00:00;0-5-6;2
2021-09-01T07:00:00;0-5-7;2
2021-09-01T07:00:00;0-5-8;3
2021-09-01T07:00:00;0-5-9;2
2021-09-01T07:00:00;0-7-0;7
2021-09-01T07:00:00;0-7-1;3
2021-09-01T07:00:00;0-7-10;4
2021-09-01T07:00:00;0-7-11;3
2021-09-01T07:00:00;0-7-12;5
2021-09-01T07:00:00;0-7-14;4
2021-09-01T07:00:00;0-7-15;1
2021-09-01T07:00:00;0-7-17;1
2021-09-01T07:00:00;0-7-18;4
2021-09-01T07:00:00;0-7-2;1
2021-09-01T07:00:00;0-7-20;1
2021-09-01T07:00:00;0-7-22;3
2021-09-01T07:00:00;0-7-24;2
2021-09-01T07:00:00;0-7-27;3
2021-09-01T07:00:00;0-7-28;1
2021-09-01T07:00:00;0-7-29;4
2021-09-01T07:00:00;0-7-3;4
2021-09-01T07:00:00;0-7-30;2
2021-09-01T07:00:00;0-7-31;3
2021-09-01T07:00:00;0-7-33;3
2021-09-01T07:00:00;0-7-34;1
2021-09-01T07:00:00;0-7-36;2
2021-09-01T07:00:00;0-7-37;3
2021-09-01T07:00:00;0-7-38;1
2021-09-01T07:00:00;0-7-39;1
2021-09-01T07:00:00;0-7-4;4
2021-09-01T07:00:00;0-7-5;1
2021-09-01T07:00:00;0-7-6;8
2021-09-01T07:00:00;0-7-7;2
2021-09-01T07:00:00;0-7-9;1
2021-09-01T07:00:00;0-9-0;1
2021-09-01T07:00:00;0-9-10;4
2021-09-01T07:00:00;0-9-11;3
2021-09-01T07:00:00;0-9-12;1
2021-09-01T07:00:00;0-9-13;2
2021-09-01T07:00:00;0-9-15;4
2021-09-01T07:00:00;0-9-16;1
